item-db-1  | 2025-08-11T02:44:07.584+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=232373620d69
item-db-1  | 2025-08-11T02:44:07.584+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db-1  | 2025-08-11T02:44:07.584+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db-1  | 2025-08-11T02:44:07.584+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db-1  | 2025-08-11T02:44:07.584+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db-1  | 2025-08-11T02:44:07.584+0000 I CONTROL  [initandlisten] modules: none
item-db-1  | 2025-08-11T02:44:07.584+0000 I CONTROL  [initandlisten] build environment:
item-db-1  | 2025-08-11T02:44:07.584+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db-1  | 2025-08-11T02:44:07.584+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db-1  | 2025-08-11T02:44:07.584+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db-1  | 2025-08-11T02:44:07.585+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db-1  | 2025-08-11T02:44:07.585+0000 I STORAGE  [initandlisten] 
item-db-1  | 2025-08-11T02:44:07.585+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db-1  | 2025-08-11T02:44:07.585+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db-1  | 2025-08-11T02:44:07.585+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=6848M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db-1  | 2025-08-11T02:44:08.242+0000 I STORAGE  [initandlisten] WiredTiger message [1754880248:242019][1:0x76cea2382a40], txn-recover: Set global recovery timestamp: 0
item-db-1  | 2025-08-11T02:44:08.261+0000 I CONTROL  [initandlisten] 
item-db-1  | 2025-08-11T02:44:08.261+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db-1  | 2025-08-11T02:44:08.261+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1  | 2025-08-11T02:44:08.261+0000 I CONTROL  [initandlisten] 
item-db-1  | 2025-08-11T02:44:08.262+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: c07259be-f08c-493a-8cc6-231806b19c0f
item-db-1  | 2025-08-11T02:44:08.270+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
item-db-1  | 2025-08-11T02:44:08.271+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: feb4e1c4-c558-4b34-b096-43e4f9087c87
item-db-1  | 2025-08-11T02:44:08.278+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1  | 2025-08-11T02:44:08.279+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db-1  | 2025-08-11T02:44:08.279+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db-1  | 2025-08-11T02:44:08.279+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db-1  | 2025-08-11T02:44:08.280+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: cb46c24b-9c83-48b2-8aed-37c0056905d3
item-db-1  | 2025-08-11T02:44:08.292+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
item-db-1  | 2025-08-11T02:44:08.292+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
item-db-1  | 2025-08-11T02:44:08.293+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
item-db-1  | 2025-08-11T02:44:17.686+0000 I NETWORK  [listener] connection accepted from 127.0.0.1:40826 #1 (1 connection now open)
item-db-1  | 2025-08-11T02:44:17.688+0000 I NETWORK  [conn1] received client metadata from 127.0.0.1:40826 conn1: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.6.23" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
item-db-1  | 2025-08-11T02:44:17.694+0000 I NETWORK  [conn1] end connection 127.0.0.1:40826 (0 connections now open)
item-db-1  | 2025-08-11T02:44:19.460+0000 I NETWORK  [listener] connection accepted from 172.18.0.3:39590 #2 (1 connection now open)
item-db-1  | 2025-08-11T02:44:19.472+0000 I NETWORK  [conn2] received client metadata from 172.18.0.3:39590 conn2: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "6.8.0-31-generic" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-app-1  | 
item-app-1  | > docker-software-delivery@1.0.0 start /app
item-app-1  | > node ./bin/www
item-app-1  | 
item-app-1  | NODE_ENV: production
item-app-1  | Connected to database
